pid,name,district,district_en,metro,metro_en,x_coord,y_coord
BX10029514,岗头地铁站C2口,龙岗区,Longgang District,岗头,Gangtou,12697836.115733856,2591012.0231474848
BX10029495,华为地铁站D口,龙岗区,Longgang District,华为,Huawei,12697247.459213672,2590156.2021899084
BX10029491,华为地铁站C口,龙岗区,Longgang District,华为,Huawei,12697347.008213295,2590240.7142388234
BX10029492,华为地铁站A口,龙岗区,Longgang District,华为,Huawei,12697307.645253923,2590004.998453831
BX10029494,华为地铁站B口,龙岗区,Longgang District,华为,Huawei,12697393.060303217,2590241.0080243032
BX10029496,华为地铁站F口,龙岗区,Longgang District,华为,Huawei,12697274.606999869,2590037.2485955465
BX10029493,华为地铁站E口,龙岗区,Longgang District,华为,Huawei,12697240.676644098,2590114.24344818
BX10029485,贝尔路地铁站D口,龙岗区,Longgang District,贝尔路,Beierlu,12697219.056184651,2588963.175741275
BX10029483,贝尔路地铁站C口,龙岗区,Longgang District,贝尔路,Beierlu,12697211.588157436,2589221.9831456495
BX10029486,贝尔路地铁站A口,龙岗区,Longgang District,贝尔路,Beierlu,12697260.43408785,2588963.7153510777
BX10029484,贝尔路地铁站B口,龙岗区,Longgang District,贝尔路,Beierlu,12697260.86575057,2589183.4377437104
BX10029528,坂田北地铁站B口,龙岗区,Longgang District,坂田北,Bantianbei,12696974.734205676,2588328.5277153132
BX10029527,坂田北地铁站A口,龙岗区,Longgang District,坂田北,Bantianbei,12696815.816063901,2588183.483245033
BX10029503,岗厦北地铁站出入口,福田区,Futian District,岗厦北,Gangshabei,12697655.953557935,2576938.85951773
BX10018614,五和地铁站D口,龙岗区,Longgang District,五和,Wuhe,12696537.961661471,2587373.0278759277
BX10018615,五和地铁站A口,龙岗区,Longgang District,五和,Wuhe,12696576.449345304,2587169.172202776
BX10029507,五和地铁站H口,龙岗区,Longgang District,五和,Wuhe,12696628.162333434,2587105.8942980194
BX10018616,五和地铁站B口,龙岗区,Longgang District,五和,Wuhe,12696637.164232671,2587198.968178339
BX10029575,五和地铁站C1口,龙岗区,Longgang District,五和,Wuhe,12696637.263569275,2587395.760495191
BX10029576,五和地铁站D2口,龙岗区,Longgang District,五和,Wuhe,12696580.776518626,2587329.7814306365
BX10029508,五和地铁站出入口,龙岗区,Longgang District,五和,Wuhe,12696583.570076898,2587105.6123256083
BX10029574,五和地铁站C2口,龙岗区,Longgang District,五和,Wuhe,12696659.061018718,2587373.1726278886
BX10029577,五和地铁站A2口,龙岗区,Longgang District,五和,Wuhe,12696580.783731636,2587210.162615839
BX10029466,光雅园地铁站B口,龙岗区,Longgang District,光雅园,Guangyayuan,12696654.463853046,2586155.198065274
BX10029467,光雅园地铁站D口,龙岗区,Longgang District,光雅园,Guangyayuan,12696593.199857747,2586003.98400729
BX10029463,光雅园地铁站C口,龙岗区,Longgang District,光雅园,Guangyayuan,12696607.091266543,2586151.5444623427
BX10029464,光雅园地铁站A1口,龙岗区,Longgang District,光雅园,Guangyayuan,12696659.927011559,2585921.029780582
BX10029465,光雅园地铁站A2口,龙岗区,Longgang District,光雅园,Guangyayuan,12696598.65504831,2585899.796999018
BX10029462,南坑地铁站A口,龙岗区,Longgang District,南坑,Nankeng,12696668.083064284,2585289.4518942144
BX10029460,南坑地铁站B口,龙岗区,Longgang District,南坑,Nankeng,12696636.603287868,2585436.1231029443
BX10029461,南坑地铁站C口,龙岗区,Longgang District,南坑,Nankeng,12696567.55098409,2585362.094851768
BX10029570,雅宝地铁站A1口,龙岗区,Longgang District,雅宝,Yabao,12696623.440303199,2584270.2455461607
BX10029502,雅宝地铁站C2口,龙岗区,Longgang District,雅宝,Yabao,12696541.908308528,2584621.481545801
BX10029501,雅宝地铁站C1口,龙岗区,Longgang District,雅宝,Yabao,12696520.56208925,2584553.8821215774
BX10029569,雅宝地铁站E1口,龙岗区,Longgang District,雅宝,Yabao,12696488.771549964,2584351.8708739625
BX10029567,雅宝地铁站B口,龙岗区,Longgang District,雅宝,Yabao,12696605.40841945,2584552.1615366414
BX10029568,雅宝地铁站出入口,龙岗区,Longgang District,雅宝,Yabao,12696526.119494868,2584596.1910843984
BX10029571,雅宝地铁站E2口,龙岗区,Longgang District,雅宝,Yabao,12696482.327115627,2584268.571877273
BX10029472,孖岭地铁站E口,福田区,Futian District,孖岭,Maling,12697158.630265366,2580216.1098529734
BX10021875,孖岭地铁站B口,福田区,Futian District,孖岭,Maling,12697418.136925124,2580225.3612097525
BX10021874,孖岭地铁站D口,福田区,Futian District,孖岭,Maling,12697301.557529483,2580283.514186863
BX10029587,孖岭地铁站F口,福田区,Futian District,孖岭,Maling,12697284.440750329,2580064.758376976
BX10021873,孖岭地铁站C口,福田区,Futian District,孖岭,Maling,12697507.127902722,2580259.225919091
BX10029586,孖岭地铁站A1口,福田区,Futian District,孖岭,Maling,12697434.176759502,2579871.191114917
BX10029588,孖岭地铁站A2口,福田区,Futian District,孖岭,Maling,12697353.515747532,2580093.464055959
BX10029474,孖岭地铁站出入口,福田区,Futian District,孖岭,Maling,12697286.777662776,2580047.879225038
BX10029473,孖岭地铁站出入口,福田区,Futian District,孖岭,Maling,12697283.550312221,2580074.282400797
BX10029596,孖岭地铁站出入口,福田区,Futian District,孖岭,Maling,12697280.212233976,2580092.3684967374
BX10029521,冬瓜岭地铁站A口,福田区,Futian District,冬瓜岭,Donggualing,12697429.095037572,2579284.9050976834
BX10029523,冬瓜岭地铁站B口,福田区,Futian District,冬瓜岭,Donggualing,12697426.975400351,2579385.9172155126
BX10029522,冬瓜岭地铁站C口,福田区,Futian District,冬瓜岭,Donggualing,12697318.408422168,2579378.2425166806
BX10029520,冬瓜岭地铁站D口,福田区,Futian District,冬瓜岭,Donggualing,12697320.530468106,2579235.6456320654
BX10029584,莲花村地铁站E口,福田区,Futian District,莲花村,Lianhuacun,12697368.660779146,2577966.2570546363
BX10018239,莲花村地铁站A1口,福田区,Futian District,莲花村,Lianhuacun,12697329.514355794,2577822.2850810266
BX10018237,莲花村地铁站D口,福田区,Futian District,莲花村,Lianhuacun,12697333.625641942,2577895.679933167
BX10018240,莲花村地铁站C1口,福田区,Futian District,莲花村,Lianhuacun,12697472.452227915,2577880.7726018415
BX10029583,莲花村地铁站A2口,福田区,Futian District,莲花村,Lianhuacun,12697379.908173945,2577759.6570296306
BX10018241,莲花村地铁站B2口,福田区,Futian District,莲花村,Lianhuacun,12697470.341755835,2577828.9489969434
BX10029585,莲花村地铁站C2口,福田区,Futian District,莲花村,Lianhuacun,12697429.062476655,2577978.221396283
BX10018238,莲花村地铁站B1口,福田区,Futian District,莲花村,Lianhuacun,12697438.642014008,2577763.9102495345
BX10029504,岗厦北地铁站D口,福田区,Futian District,岗厦北,Gangshabei,12697490.531258445,2576920.5292412126
BX10018370,岗厦北地铁站B口,福田区,Futian District,岗厦北,Gangshabei,12697632.149473097,2576883.21099854
BX10018371,岗厦北地铁站A口,福田区,Futian District,岗厦北,Gangshabei,12697484.971312083,2576884.380754104
BX10018517,岗厦地铁站C口,福田区,Futian District,岗厦,Gangsha,12697338.624268,2576163.166549049
BX10018519,岗厦地铁站A口,福田区,Futian District,岗厦,Gangsha,12697506.481453022,2576215.1064191554
BX10018518,岗厦地铁站B口,福田区,Futian District,岗厦,Gangsha,12697337.064011756,2576212.3398759244
BX10029590,岗厦地铁站D口,福田区,Futian District,岗厦,Gangsha,12697395.254103674,2575992.5520233195
BX10026720,岗厦地铁站G口,福田区,Futian District,岗厦,Gangsha,12697528.511081692,2576159.3963378635
BX10018516,岗厦地铁站F口,福田区,Futian District,岗厦,Gangsha,12697468.775702622,2576124.7724201437
BX10029589,岗厦地铁站E口,福田区,Futian District,岗厦,Gangsha,12697449.652060786,2575961.3798192344
BX10018445,福民地铁站D口,福田区,Futian District,福民,Fumin,12697056.857988268,2574693.5890464243
BX10018446,福民地铁站C口,福田区,Futian District,福民,Fumin,12697005.798175627,2574844.7895650654
BX10029595,福民地铁站K口,福田区,Futian District,福民,Fumin,12697414.78210719,2574974.550205802
BX10029593,福民地铁站J1口,福田区,Futian District,福民,Fumin,12697476.064684266,2575156.312071235
BX10018447,福民地铁站A口,福田区,Futian District,福民,Fumin,12697127.151097309,2574704.9254896017
BX10018448,福民地铁站B口,福田区,Futian District,福民,Fumin,12697097.444200952,2574867.056943308
BX10021739,福民地铁站F口,福田区,Futian District,福民,Fumin,12697167.516232006,2574874.779720429
BX10029594,福民地铁站H口,福田区,Futian District,福民,Fumin,12697478.085895397,2574842.8623204483
BX10021904,福民地铁站E口,福田区,Futian District,福民,Fumin,12697328.366360456,2574717.2699872493
BX10021738,福民地铁站G口,福田区,Futian District,福民,Fumin,12697112.685541295,2574808.4653127613
BX10029591,福民地铁站J2口,福田区,Futian District,福民,Fumin,12697422.663581388,2575249.0623303275
BX10029592,福民地铁站J3口,福田区,Futian District,福民,Fumin,12697423.002338236,2575165.306441638
BX10018449,福田口岸地铁站A口,福田区,Futian District,福田口岸,Futiankouan,12697572.365356663,2573917.842125374
BX10019824,福田口岸地铁站B口,福田区,Futian District,福田口岸,Futiankouan,12697524.976542033,2573890.0721640475
BX10029579,福田口岸地铁站E口,福田区,Futian District,福田口岸,Futiankouan,12697067.476918409,2573816.290281376
BX10029510,福田口岸地铁站C口,福田区,Futian District,福田口岸,Futiankouan,12697485.152411751,2573874.2222168827
BX10029578,福田口岸地铁站D2口,福田区,Futian District,福田口岸,Futiankouan,12697289.137943849,2574097.683773329
BX10029511,福田口岸地铁站D1口,福田区,Futian District,福田口岸,Futiankouan,12697402.938826425,2573989.06064395
BX10021773,皇岗口岸地铁站C口,福田区,Futian District,皇岗口岸,Huanggangkouan,12698202.286268288,2574575.252590568
BX10021907,皇岗口岸地铁站D口,福田区,Futian District,皇岗口岸,Huanggangkouan,12698056.294518933,2574611.693727804
BX10021232,碧头地铁站A口,宝安区,Baoan District,碧头,Bitou,12669793.881016297,2606388.860153423
BX10021233,碧头地铁站B口,宝安区,Baoan District,碧头,Bitou,12669794.445316788,2606284.93602497
BX10021234,碧头地铁站D口,宝安区,Baoan District,碧头,Bitou,12669848.915452907,2606263.681780438
BX10021231,碧头地铁站C口,宝安区,Baoan District,碧头,Bitou,12669893.906594934,2606104.325536338
BX10021230,碧头地铁站E口,宝安区,Baoan District,碧头,Bitou,12669840.646819325,2606414.060986392
BX10021240,松岗地铁站C口,宝安区,Baoan District,松岗,Songgang,12670900.905630542,2604748.6611810927
BX10029425,松岗地铁站A口,宝安区,Baoan District,松岗,Songgang,12670841.290669857,2604911.1128107095
BX10029422,松岗地铁站E口,宝安区,Baoan District,松岗,Songgang,12671066.431078661,2604872.831118256
BX10021242,松岗地铁站G口,宝安区,Baoan District,松岗,Songgang,12670909.709396996,2604987.4108735532
BX10021241,松岗地铁站D口,宝安区,Baoan District,松岗,Songgang,12670969.996807147,2604778.855169927
BX10029437,松岗公园地铁站C口,宝安区,Baoan District,松岗公园,Songganggongyuan,12672918.51886585,2605493.020036139
BX10029423,松岗地铁站B口,宝安区,Baoan District,松岗,Songgang,12670829.019991579,2604784.359676017
BX10029439,松岗公园地铁站A口,宝安区,Baoan District,松岗公园,Songganggongyuan,12673043.396306017,2605594.6405186574
BX10029440,松岗公园地铁站D口,宝安区,Baoan District,松岗公园,Songganggongyuan,12673063.152270768,2605552.6744523873
BX10029438,松岗公园地铁站B口,宝安区,Baoan District,松岗公园,Songganggongyuan,12672902.222043525,2605537.7681128
BX10029424,松岗地铁站F口,宝安区,Baoan District,松岗,Songgang,12671000.237433063,2604920.852442476
BX10021244,后亭地铁站A口,宝安区,Baoan District,后亭,Houting,12670550.99463276,2602567.033692613
BX10021245,后亭地铁站D口,宝安区,Baoan District,后亭,Houting,12670639.174422853,2602568.662463221
BX10021243,后亭地铁站B口,宝安区,Baoan District,后亭,Houting,12670533.815162336,2602399.255922698
BX10021246,后亭地铁站C口,宝安区,Baoan District,后亭,Houting,12670622.888800232,2602385.5604467005
BX10021221,沙井地铁站A口,宝安区,Baoan District,沙井,Shajing,12670292.414276695,2599986.329648073
BX10021219,沙井地铁站C口,宝安区,Baoan District,沙井,Shajing,12670354.378649348,2599723.776380408
BX10021218,沙井地铁站D口,宝安区,Baoan District,沙井,Shajing,12670374.569826348,2599923.9945891667
BX10021220,沙井地铁站B1口,宝安区,Baoan District,沙井,Shajing,12670273.783487001,2599825.328869677
BX10021222,沙井地铁站B2入口,宝安区,Baoan District,沙井,Shajing,12670268.316967458,2599778.139234257
BX10021247,马安山地铁站A口,宝安区,Baoan District,马安山,Maanshan,12669478.83145419,2598266.6519316873
BX10021248,马安山地铁站B口,宝安区,Baoan District,马安山,Maanshan,12669411.649671933,2598112.0849116426
BX10021249,马安山地铁站C口,宝安区,Baoan District,马安山,Maanshan,12669500.272588564,2598076.6697609094
BX10021250,马安山地铁站D口,宝安区,Baoan District,马安山,Maanshan,12669566.004026521,2598229.5449707834
BX10021223,塘尾地铁站C口,宝安区,Baoan District,塘尾,Tangwei,12669632.307372857,2596288.137040494
BX10021226,塘尾地铁站B口,宝安区,Baoan District,塘尾,Tangwei,12669542.010935953,2596295.194415448
BX10021224,塘尾地铁站A口,宝安区,Baoan District,塘尾,Tangwei,12669535.63930421,2596456.5973606766
BX10021225,塘尾地铁站D口,宝安区,Baoan District,塘尾,Tangwei,12669631.738580685,2596467.6475376533
BX10021239,桥头地铁站C口,宝安区,Baoan District,桥头,Qiaotou,12668816.759956796,2594607.0673328037
BX10021237,桥头地铁站A口,宝安区,Baoan District,桥头,Qiaotou,12668822.10616139,2594788.2625102475
BX10021235,桥头地铁站B口,宝安区,Baoan District,桥头,Qiaotou,12668728.36824092,2594625.595067457
BX10021236,桥头地铁站D2口,宝安区,Baoan District,桥头,Qiaotou,12668898.78198026,2594742.088838452
BX10021238,桥头地铁站D1口,宝安区,Baoan District,桥头,Qiaotou,12668868.874516094,2594693.055544958
BX10021215,福永地铁站A口,宝安区,Baoan District,福永,Fuyong,12668208.857102329,2593036.850039028
BX10021217,福永地铁站C口,宝安区,Baoan District,福永,Fuyong,12668312.876394317,2592832.956040548
BX10021216,福永地铁站D口,宝安区,Baoan District,福永,Fuyong,12668316.99501523,2593007.6186647904
BX10021214,福永地铁站B口,宝安区,Baoan District,福永,Fuyong,12668210.320042023,2592832.887391681
BX10035692,机场北地铁站D口,宝安区,Baoan District,机场北,Jichangbei,12667518.19153627,2590155.699443737
BX10021212,机场北地铁站A口,宝安区,Baoan District,机场北,Jichangbei,12667352.821798796,2590344.6435893322
BX10035693,机场北地铁站E口,宝安区,Baoan District,机场北,Jichangbei,12667396.89344625,2590361.9637589008
BX10021211,机场北地铁站B口,宝安区,Baoan District,机场北,Jichangbei,12667435.621598039,2590181.970636614
BX10021213,机场北地铁站C口,宝安区,Baoan District,机场北,Jichangbei,12667384.964703124,2590195.5131074595
BX10021200,碧海湾地铁站C口,宝安区,Baoan District,碧海湾,Bihaiwan,12674003.428388536,2580993.061022426
BX10021199,碧海湾地铁站E口,宝安区,Baoan District,碧海湾,Bihaiwan,12673787.501121402,2581184.6021695393
BX10021198,碧海湾地铁站B口,宝安区,Baoan District,碧海湾,Bihaiwan,12673946.299893096,2580961.863637983
BX10021201,碧海湾地铁站D口,宝安区,Baoan District,碧海湾,Bihaiwan,12673850.43901154,2581129.259123205
BX10021197,碧海湾地铁站A口,宝安区,Baoan District,碧海湾,Bihaiwan,12673805.137782184,2581083.373456982
BX10021209,宝安地铁站A口,宝安区,Baoan District,宝安,Baoan,12676468.296289347,2578675.3115025335
BX10021208,宝安地铁站D口,宝安区,Baoan District,宝安,Baoan,12676525.941249495,2578719.2409849744
BX10021207,宝安地铁站C口,宝安区,Baoan District,宝安,Baoan,12676658.969350554,2578577.3787359702
BX10018471,宝安中心地铁站B口,宝安区,Baoan District,宝安中心,Baoanzhongxin,12677399.99269093,2578626.5270222086
BX10018467,宝安中心地铁站D口,宝安区,Baoan District,宝安中心,Baoanzhongxin,12677289.076196425,2578694.313661093
BX10018469,宝安中心地铁站A口,宝安区,Baoan District,宝安中心,Baoanzhongxin,12677409.359624233,2578563.6154985144
BX10018466,宝安中心地铁站E口,宝安区,Baoan District,宝安中心,Baoanzhongxin,12677249.506476706,2578639.444501195
BX10024212,宝安中心地铁站F口,宝安区,Baoan District,宝安中心,Baoanzhongxin,12677297.11156406,2578533.7709486675
BX10021210,宝安地铁站B口,宝安区,Baoan District,宝安,Baoan,12676603.669026542,2578525.1377987424
BX10018470,宝安中心地铁站C口,宝安区,Baoan District,宝安中心,Baoanzhongxin,12677355.624840565,2578684.594825209
BX10022796,前海湾地铁站E口,南山区,Nanshan District,前海湾,Qianhaiwan,12678494.596646246,2576660.12302352
BX10022795,前海湾地铁站D口,南山区,Nanshan District,前海湾,Qianhaiwan,12678498.957545877,2576393.535282725
BX10018511,前海湾地铁站B1口,南山区,Nanshan District,前海湾,Qianhaiwan,12678581.955230387,2576533.3518052376
BX10018508,前海湾地铁站A口,南山区,Nanshan District,前海湾,Qianhaiwan,12678559.01048042,2576414.757412762
BX10018507,前海湾地铁站C口,南山区,Nanshan District,前海湾,Qianhaiwan,12678491.259027116,2576575.035396706
BX10018509,前海湾地铁站B2口,南山区,Nanshan District,前海湾,Qianhaiwan,12678556.88218074,2576609.99810486
BX10018510,前海湾地铁站F口,南山区,Nanshan District,前海湾,Qianhaiwan,12678494.833502116,2576419.8075231626
BX10021205,南山地铁站A口,南山区,Nanshan District,南山,Nanshan,12681223.338768141,2574924.482446117
BX10021204,南山地铁站D口,南山区,Nanshan District,南山,Nanshan,12681475.956180802,2574859.264279188
BX10021206,南山地铁站H口,南山区,Nanshan District,南山,Nanshan,12681219.551050438,2574990.887171169
BX10021202,南山地铁站E2口,南山区,Nanshan District,南山,Nanshan,12681464.379300755,2574927.726399751
BX10021203,南山地铁站E1口,南山区,Nanshan District,南山,Nanshan,12681492.533115651,2574916.849579534
BX10027951,南山书城地铁站B口,南山区,Nanshan District,南山书城,Nanshanshucheng,12681957.655859493,2574368.459139033
BX10027949,南山书城地铁站C口,南山区,Nanshan District,南山书城,Nanshanshucheng,12681941.849727634,2574503.929435291
BX10027952,南山书城地铁站A口,南山区,Nanshan District,南山书城,Nanshanshucheng,12681926.176093945,2574273.179616876
BX10027953,南山书城地铁站D口,南山区,Nanshan District,南山书城,Nanshanshucheng,12681889.34814364,2574304.6789620314
BX10028400,南山书城地铁站H口,南山区,Nanshan District,南山书城,Nanshanshucheng,12681896.476484256,2574170.1854999727
BX10027950,南山书城地铁站E口,南山区,Nanshan District,南山书城,Nanshanshucheng,12681860.87026194,2574230.242494754
BX10028403,南山书城地铁站G口,南山区,Nanshan District,南山书城,Nanshanshucheng,12681846.973906282,2574039.741466565
BX10021301,后海地铁站J口,南山区,Nanshan District,后海,Houhai,12683360.17815344,2574329.5857395483
BX10018332,后海地铁站E口,南山区,Nanshan District,后海,Houhai,12683157.70707592,2574035.804727884
BX10018333,后海地铁站D1口,南山区,Nanshan District,后海,Houhai,12683191.17105828,2574158.5387142543
BX10021302,后海地铁站F口,南山区,Nanshan District,后海,Houhai,12683426.786458971,2574239.562211487
BX10021304,后海地铁站H口,南山区,Nanshan District,后海,Houhai,12683549.97942778,2574265.9562835125
BX10021300,后海地铁站G口,南山区,Nanshan District,后海,Houhai,12683542.423287958,2574191.137033084
BX10018336,后海地铁站A口,南山区,Nanshan District,后海,Houhai,12683241.77238283,2574051.679096292
BX10018334,后海地铁站D2口,南山区,Nanshan District,后海,Houhai,12683211.739349665,2574217.789984995
BX10018335,后海地铁站E2口,南山区,Nanshan District,后海,Houhai,12683144.583991632,2574059.5677183513
BX10021303,后海地铁站出入口,南山区,Nanshan District,后海,Houhai,12683641.820506623,2574182.746923004
BX10018400,海月地铁站B口,南山区,Nanshan District,海月,Haiyue,12682979.781770984,2572098.739302216
BX10018397,海月地铁站A口,南山区,Nanshan District,海月,Haiyue,12682990.018673196,2572000.0379963084
BX10018398,海月地铁站C口,南山区,Nanshan District,海月,Haiyue,12682901.596821608,2572172.012676385
BX10018399,海月地铁站D口,南山区,Nanshan District,海月,Haiyue,12682916.621639386,2571978.7164636054
BX10021311,红树湾南地铁站A口,南山区,Nanshan District,红树湾南,Hongshuwannan,12686577.509626165,2574765.4626303543
BX10021310,红树湾南地铁站C口,南山区,Nanshan District,红树湾南,Hongshuwannan,12686807.43525885,2574830.2255992577
BX10021312,红树湾南地铁站B口,南山区,Nanshan District,红树湾南,Hongshuwannan,12686768.674003195,2574765.2650971496
BX10021922,红树湾南地铁站D口,南山区,Nanshan District,红树湾南,Hongshuwannan,12686653.927514533,2574840.317244082
BX10021299,车公庙地铁站A口,福田区,Futian District,车公庙,Chegongmiao,12692797.121363161,2576428.0949027427
BX10021228,车公庙地铁站C口,福田区,Futian District,车公庙,Chegongmiao,12692676.61850582,2576287.4494012953
BX10018483,车公庙地铁站B口,福田区,Futian District,车公庙,Chegongmiao,12692655.730707364,2576402.7275404003
BX10021830,车公庙地铁站F口,福田区,Futian District,车公庙,Chegongmiao,12693025.282166824,2576190.6025286745
BX10021229,车公庙地铁站D1口,福田区,Futian District,车公庙,Chegongmiao,12692854.996634718,2576317.5279666972
BX10021723,车公庙地铁站J1口,福田区,Futian District,车公庙,Chegongmiao,12693244.985416666,2576400.387844114
BX10021722,车公庙地铁站G口,福田区,Futian District,车公庙,Chegongmiao,12693221.898200376,2576100.968352875
BX10021227,车公庙地铁站D2口,福田区,Futian District,车公庙,Chegongmiao,12692812.902436826,2576279.448994324
BX10021721,车公庙地铁站J2口,福田区,Futian District,车公庙,Chegongmiao,12693244.867584337,2576513.314264512
BX10021719,车公庙地铁站E口,福田区,Futian District,车公庙,Chegongmiao,12692882.209940635,2576311.662379409
BX10021724,车公庙地铁站H口,福田区,Futian District,车公庙,Chegongmiao,12693111.913428266,2576352.2045577634
BX10021720,车公庙地铁站J3口,福田区,Futian District,车公庙,Chegongmiao,12693128.785967734,2576545.1059042215
BX10021275,福田地铁站15号口,福田区,Futian District,福田,Futian,12696366.350764526,2576879.968309878
BX10018310,福田地铁站31号口,福田区,Futian District,福田,Futian,12695772.093768325,2576888.5062499135
BX10018312,福田地铁站1号口,福田区,Futian District,福田,Futian,12695691.177237902,2576683.3106933828
BX10021272,福田地铁站2B口,福田区,Futian District,福田,Futian,12695863.928328043,2576746.0996099017
BX10021277,福田地铁站12A口,福田区,Futian District,福田,Futian,12696165.787258847,2576549.8869970185
BX10021267,福田地铁站21号口,福田区,Futian District,福田,Futian,12696147.730267921,2577303.0615570676
BX10021261,福田地铁站20号口,福田区,Futian District,福田,Futian,12696136.506889068,2577201.7234133226
BX10021276,福田地铁站19号口,福田区,Futian District,福田,Futian,12696145.963559192,2577099.7424429813
BX10021260,福田地铁站18号口,福田区,Futian District,福田,Futian,12696147.746081356,2577039.959830842
BX10021266,福田地铁站16号口,福田区,Futian District,福田,Futian,12696165.323568419,2576865.2893832284
BX10021271,福田地铁站28号口,福田区,Futian District,福田,Futian,12695953.302824466,2576891.7460665153
BX10018476,罗湖地铁站C口,罗湖区,Luohu District,罗湖,Luohu,12702958.388235763,2575847.1485934486
